"tutor_user_idx","student_user_idx","course_id","course_class_id","course_class_seq_id","quiz_submit_ratio","quiz_solving_cnt","quiz_solving_time","registered_by_user_idx","registered_date","last_modified_by_user_idx","last_modified_date"
"233","239","161","293","959",\0,\0,\0,"233","2022-08-27 15:43:47","233","2022-08-27 15:43:47"
"233","239","161","293","960",\0,\0,\0,"233","2022-08-27 15:44:01","233","2022-08-27 15:44:01"
"233","239","161","293","961",\0,\0,\0,"233","2022-08-27 15:44:23","233","2022-08-27 15:44:23"
"233","239","161","293","962",\0,\0,\0,"233","2022-08-27 15:44:37","233","2022-08-27 15:44:37"
"232","237","161","306","994",\0,\0,\0,"232","2022-08-29 15:19:47","232","2022-08-29 15:19:47"
"232","237","161","306","995",\0,\0,\0,"232","2022-08-29 15:20:44","232","2022-08-29 15:20:44"
"232","256","161","306","994",\0,\0,\0,"232","2022-08-29 15:19:47","232","2022-08-29 15:19:47"
"232","256","161","306","995",\0,\0,\0,"232","2022-08-29 15:20:44","232","2022-08-29 15:20:44"
"44","256","162","303","937",\0,\0,\0,"44","2022-08-25 15:42:32","44","2022-08-25 15:42:32"
"44","256","162","303","942",\0,\0,\0,"44","2022-08-25 18:48:42","44","2022-08-25 18:48:42"
"44","256","162","303","943",\0,\0,\0,"44","2022-08-25 18:49:31","44","2022-08-25 18:49:31"
"44","256","162","303","948",\0,\0,\0,"44","2022-08-26 11:37:18","44","2022-08-26 11:37:18"
"44","259","162","303","937",\0,\0,\0,"44","2022-08-25 15:42:32","44","2022-08-25 15:42:32"
"44","259","162","303","942",\0,\0,\0,"44","2022-08-25 18:48:42","44","2022-08-25 18:48:42"
"44","259","162","303","943",\0,\0,\0,"44","2022-08-25 18:49:31","44","2022-08-25 18:49:31"
"44","259","162","303","948",\0,\0,\0,"44","2022-08-26 11:37:18","44","2022-08-26 11:37:18"
"261","258","162","343","1157",\0,\0,\0,"261","2022-09-15 21:05:15","261","2022-09-15 21:05:15"
"261","258","162","343","1174",\0,\0,\0,"261","2022-09-26 11:34:45","261","2022-09-26 11:34:45"
"261","259","162","343","1157",\0,\0,\0,"261","2022-09-15 21:05:15","261","2022-09-15 21:05:15"
"261","259","162","343","1174",\0,\0,\0,"261","2022-09-26 11:34:45","261","2022-09-26 11:34:45"
"233","237","164","309","1091",\0,\0,\0,"233","2022-09-06 19:05:27","233","2022-09-06 19:05:27"
"232","238","165","310","1008",\0,\0,\0,"232","2022-08-29 16:32:17","232","2022-08-29 16:32:17"
"232","238","165","310","1009",\0,\0,\0,"232","2022-08-29 16:33:07","232","2022-08-29 16:33:07"
"233","238","166","311","1011",\0,\0,\0,"233","2022-08-29 17:55:38","233","2022-08-29 17:55:38"
"233","238","166","311","1012",\0,\0,\0,"233","2022-08-29 17:55:57","233","2022-08-29 17:55:57"
"232","236","167","312","1016",\0,\0,\0,"232","2022-08-29 18:53:43","232","2022-08-29 18:53:43"
"232","236","167","312","1017",\0,\0,\0,"232","2022-08-29 18:53:54","232","2022-08-29 18:53:54"
"232","236","168","314","1022",\0,\0,\0,"232","2022-08-29 20:39:15","232","2022-08-29 20:39:15"
"232","236","168","314","1023",\0,\0,\0,"232","2022-08-29 20:39:31","232","2022-08-29 20:39:31"
"232","238","168","314","1022",\0,\0,\0,"232","2022-08-29 20:39:15","232","2022-08-29 20:39:15"
"232","238","168","314","1023",\0,\0,\0,"232","2022-08-29 20:39:31","232","2022-08-29 20:39:31"
"243","256","169","315","1027",\0,\0,\0,"243","2022-08-30 13:33:37","243","2022-08-30 17:17:33"
"243","256","169","315","1028",\0,\0,\0,"243","2022-08-30 13:34:24","267","2022-08-30 13:37:55"
"243","258","169","315","1027",\0,\0,\0,"243","2022-08-30 13:33:37","243","2022-08-30 17:17:33"
"243","258","169","315","1028",\0,\0,\0,"243","2022-08-30 13:34:24","267","2022-08-30 13:37:55"
"243","259","169","315","1027",\0,\0,\0,"243","2022-08-30 13:33:37","243","2022-08-30 17:17:33"
"243","259","169","315","1028",\0,\0,\0,"243","2022-08-30 13:34:24","267","2022-08-30 13:37:55"
"243","256","170","334","1109",\0,\0,\0,"243","2022-09-07 09:52:13","243","2022-09-07 09:52:13"
"243","256","170","334","1119",\0,\0,\0,"243","2022-09-07 13:07:28","243","2022-09-07 13:07:28"
"243","256","170","334","1124",\0,\0,\0,"243","2022-09-08 09:00:21","243","2022-09-08 09:00:21"
"244","256","172","322","1048",\0,\0,\0,"244","2022-08-31 10:03:54","244","2022-08-31 11:42:24"
"244","256","172","322","1082",\0,\0,\0,"244","2022-09-01 14:16:46","244","2022-09-01 14:16:46"
"244","256","172","322","1104",\0,\0,\0,"244","2022-09-07 09:20:35","244","2022-09-07 09:20:35"
"244","256","172","322","1111",\0,\0,\0,"244","2022-09-07 10:53:44","244","2022-09-07 10:53:44"
"244","256","172","322","1118",\0,\0,\0,"244","2022-09-07 13:00:02","244","2022-09-07 13:00:02"
"244","256","172","322","1120",\0,\0,\0,"244","2022-09-07 14:02:40","244","2022-09-07 14:02:40"
"244","256","172","322","1121",\0,\0,\0,"244","2022-09-07 15:00:59","244","2022-09-07 15:00:59"
"244","256","172","322","1122",\0,\0,\0,"244","2022-09-07 16:22:54","244","2022-09-07 16:22:54"
"244","256","172","322","1123",\0,\0,\0,"244","2022-09-07 16:52:16","244","2022-09-07 16:52:16"
"244","256","172","322","1125",\0,\0,\0,"244","2022-09-08 09:25:49","244","2022-09-08 09:25:49"
"244","258","172","322","1048",\0,\0,\0,"244","2022-08-31 10:03:54","244","2022-08-31 11:42:24"
"244","258","172","322","1082",\0,\0,\0,"244","2022-09-01 14:16:46","244","2022-09-01 14:16:46"
"244","258","172","322","1104",\0,\0,\0,"244","2022-09-07 09:20:35","244","2022-09-07 09:20:35"
"244","258","172","322","1111",\0,\0,\0,"244","2022-09-07 10:53:44","244","2022-09-07 10:53:44"
"244","258","172","322","1118",\0,\0,\0,"244","2022-09-07 13:00:02","244","2022-09-07 13:00:02"
"244","258","172","322","1120",\0,\0,\0,"244","2022-09-07 14:02:40","244","2022-09-07 14:02:40"
"244","258","172","322","1121",\0,\0,\0,"244","2022-09-07 15:00:59","244","2022-09-07 15:00:59"
"244","258","172","322","1122",\0,\0,\0,"244","2022-09-07 16:22:54","244","2022-09-07 16:22:54"
"244","258","172","322","1123",\0,\0,\0,"244","2022-09-07 16:52:16","244","2022-09-07 16:52:16"
"244","258","172","322","1125",\0,\0,\0,"244","2022-09-08 09:25:49","244","2022-09-08 09:25:49"
"244","259","172","322","1048",\0,\0,\0,"244","2022-08-31 10:03:54","244","2022-08-31 11:42:24"
"244","259","172","322","1082",\0,\0,\0,"244","2022-09-01 14:16:46","244","2022-09-01 14:16:46"
"244","259","172","322","1104",\0,\0,\0,"244","2022-09-07 09:20:35","244","2022-09-07 09:20:35"
"244","259","172","322","1111",\0,\0,\0,"244","2022-09-07 10:53:44","244","2022-09-07 10:53:44"
"244","259","172","322","1118",\0,\0,\0,"244","2022-09-07 13:00:02","244","2022-09-07 13:00:02"
"244","259","172","322","1120",\0,\0,\0,"244","2022-09-07 14:02:40","244","2022-09-07 14:02:40"
"244","259","172","322","1121",\0,\0,\0,"244","2022-09-07 15:00:59","244","2022-09-07 15:00:59"
"244","259","172","322","1122",\0,\0,\0,"244","2022-09-07 16:22:54","244","2022-09-07 16:22:54"
"244","259","172","322","1123",\0,\0,\0,"244","2022-09-07 16:52:16","244","2022-09-07 16:52:16"
"244","259","172","322","1125",\0,\0,\0,"244","2022-09-08 09:25:49","244","2022-09-08 09:25:49"
"233","238","173","325","1060",\0,\0,\0,"233","2022-08-31 11:03:12","233","2022-08-31 11:03:12"
"233","238","173","325","1061",\0,\0,\0,"233","2022-08-31 11:03:28","233","2022-08-31 11:03:28"
"233","257","173","325","1060",\0,\0,\0,"233","2022-08-31 11:03:12","233","2022-08-31 11:03:12"
"233","257","173","325","1061",\0,\0,\0,"233","2022-08-31 11:03:28","233","2022-08-31 11:03:28"
