major,subject_category,subject_details
법학과,일반선택과목,"사회교과 : 세계사, 정치와 법, 사회ㆍ문화, 생활과 윤리, 윤리와 사상, 생활ㆍ교양교과 : 철학, 논리학, 심리학"
법학과,진로선택과목,사회문제 탐구
법학과,전문교과Ⅰ,"지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구"
법학과,전문교과Ⅱ,"인간 발달, 커뮤니케이션, 빅데이터 분석"
부동산과,공통과목,"사회, 생활ㆍ교양"
부동산과,일반선택과목,"사회교과 : 한국지리, 세계지리, 경제, 생활과 윤리, 생활ㆍ교양교과 : 심리학, 환경"
부동산과,진로선택과목,"실용 수학, 경제 수학, 여행지리, 사회문제 탐구"
부동산과,전문교과Ⅰ,"지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구"
부동산과,전문교과Ⅱ,"공간정보융합서비스, 빅데이터 분석, 인간과 환경, 환경 보전"
부동산학과,공통과목,"사회, 생활ㆍ교양"
부동산학과,일반선택과목,"사회교과 : 한국지리, 세계지리, 경제, 생활과 윤리, 생활ㆍ교양교과 : 심리학, 환경"
부동산학과,진로선택과목,"실용 수학, 경제 수학, 여행지리, 사회문제 탐구"
부동산학과,전문교과Ⅰ,"지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구"
부동산학과,전문교과Ⅱ,"공간정보융합서비스, 빅데이터 분석, 인간과 환경, 환경 보전"
사학과,공통과목,"사회, 역사, 한문, 영어, 제2외국어"
사학과,일반선택과목,"사회교과 : 사회문화, 세계사, 동아시아사, 한국지리, 윤리와 사상, 한문교과 : 한문Ⅰ, 한문Ⅱ, 외국어교과 : 영어Ⅰ, 영어Ⅱ, 일본어Ⅰ, 중국어Ⅰ, 독일어Ⅰ, 프랑스어Ⅰ"
사학과,진로선택과목,"사회문제 탐구, 고전 읽기, 고전과 윤리, 여행지리, 현대 세계의 변화 "
사학과,전문교과Ⅰ,"사회탐구 방법, 사회과제 연구, 한국 사회의 이해, 비교 문화, 지역 이해"
사학과,전문교과Ⅱ,문화콘텐츠 산업 일반
산업공학과,공통과목,"수학, 사회, 과학, 기술ㆍ가정"
산업공학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리 , 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
산업공학과,진로선택과목,"실용수학, 기하, 경제수학, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구, 창의 경영, 지식 재산 일반"
산업공학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제 연구, 생태와 환경, 지역 이해, 세계 문제와 미래 사회, 사회 탐구 방법, 사회과제 연구"
산업공학과,전문교과Ⅱ,"공업 일반, 기업과 경영, 프로그래밍, 빅데이터 분석"
세라믹공학과,공통과목,"수학, 영어, 과학, 기술ㆍ가정"
세라믹공학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 영어교과 : 영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
세라믹공학과,진로선택과목,"기하, 수학과제 탐구, 영어권 문화, 물리학Ⅱ, 화학Ⅱ, 공학 일반"
세라믹공학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구"
세라믹공학과,전문교과Ⅱ,"공업 일반, 반도체 개발, 프로그래밍, 자료구조"
신소재공학과,공통과목,"수학, 과학, 기술ㆍ가정"
신소재공학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
신소재공학과,진로선택과목,"기하, 물리학Ⅱ, 화학Ⅱ, 생명과학, 공학 일반"
신소재공학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 고급 생명과학, 생명과학 실험, 생태와 환경, 정보과학, 과학과제 연구"
신소재공학과,전문교과Ⅱ,"재료 시험, 재료 일반, 산업 설비, 프로그래밍"
재료공학과,공통과목,"수학, 과학, 기술ㆍ가정"
재료공학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
재료공학과,진로선택과목,"기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반"
재료공학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 과학과제 연구"
재료공학과,전문교과Ⅱ,"공업 일반, 금속 열처리, 금속 재료 가공"
지역개발학과,공통과목,"사회, 생활ㆍ교양"
지역개발학과,일반선택과목,"사회교과 : 한국지리, 세계지리, 경제, 생활과 윤리, 생활ㆍ교양교과 : 심리학, 환경"
지역개발학과,진로선택과목,"실용 수학, 경제 수학, 여행지리, 사회문제 탐구"
지역개발학과,전문교과Ⅰ,"지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구"
지역개발학과,전문교과Ⅱ,"공간정보융합서비스, 빅데이터 분석, 인간과 환경, 환경 보전"
회계학과,공통과목,"수학, 사회, 기술ㆍ가정, 생활ㆍ교양"
